Locus_tag	Gene_name	Gene_type	baseMean	log2FC	padj	pvalue	lfcSE	stat
b2725	hycA	CDS	265	10.83	1.04e-07	5.17e-09	1.85	5.84
b4718	gadF	ncRNA	274	10.05	3.81e-07	2.23e-08	1.8	5.59
b0972	hyaA	CDS	418	10.03	8.47e-12	1.10e-13	1.35	7.43
b1493	gadB	CDS	5204	9.04	2.35e-12	2.53e-14	1.19	7.62
b4244	pyrI	CDS	20285	8.81	3.46e-16	1.45e-18	1	8.79
b3512	gadE	CDS	1377	8.77	3.32e-10	7.37e-12	1.28	6.85
b4245	pyrB	CDS	29556	8.62	1.61e-14	9.40e-17	1.04	8.31
b3517	gadA	CDS	4060	8.32	1.15e-11	1.58e-13	1.13	7.38
b3509	hdeB	CDS	8835	8.09	1.98e-13	1.73e-15	1.02	7.96
b0973	hyaB	CDS	495	7.97	2.82e-10	6.00e-12	1.16	6.88
b2752	cysD	CDS	5020	7.97	7.39e-11	1.14e-12	1.12	7.11
b2425	cysP	CDS	4335	7.83	1.20e-10	2.02e-12	1.11	7.03
b1492	gadC	CDS	4268	7.8	4.54e-10	1.07e-11	1.15	6.8
b2724	hycB	CDS	200	7.47	3.25e-06	2.41e-07	1.45	5.16
b3510	hdeA	CDS	22164	7.47	8.96e-11	1.43e-12	1.06	7.08
b2763	cysI	CDS	6769	7.46	4.90e-12	6.16e-14	0.99	7.5
b3506	slp	CDS	2654	7.44	9.38e-13	9.47e-15	0.96	7.75
b4721	ytiD	CDS	59	7.33	1.31e-04	1.69e-05	1.7	4.3
b0977	hyaF	CDS	433	7.28	4.27e-12	5.27e-14	0.97	7.53
b2423	cysW	CDS	1989	7.13	1.70e-09	4.76e-11	1.08	6.58
b1589	ynfG	CDS	649	7.1	7.52e-19	1.52e-21	0.74	9.53
b0976	hyaE	CDS	150	7.08	6.32e-11	9.50e-13	0.99	7.14
b2424	cysU	CDS	1782	7.01	7.84e-10	2.06e-11	1.05	6.7
b4743	ynaL	CDS	39	6.99	5.64e-04	9.14e-05	1.79	3.91
b2764	cysJ	CDS	6828	6.9	6.65e-10	1.69e-11	1.03	6.73
b3513	mdtE	CDS	603	6.73	4.27e-09	1.35e-10	1.05	6.42
