Locus_tag	Gene_name	Gene_type	baseMean	log2FC	padj	pvalue	lfcSE	stat
b1973	zinT	CDS	9722	10.72	5.38e-267	1.21e-270	0.31	35.15
b0296	ykgM	CDS	1623	10.61	5.78e-125	5.19e-128	0.44	24.07
b4506	ykgO	CDS	2576	10.4	3.27e-94	6.61e-97	0.5	20.89
b3829	metE	CDS	7533	8.07	3.80e-28	5.96e-30	0.71	11.37
b4068	yjcH	CDS	94	7.57	5.11e-38	3.33e-40	0.57	13.27
b3460	livJ	CDS	2328	7.05	2.23e-37	1.50e-39	0.54	13.16
b4069	acs	CDS	1082	6.84	3.76e-34	3.54e-36	0.54	12.56
b3774	ilvC	CDS	2723	6.81	9.06e-135	6.10e-138	0.27	25
b3926	glpK	CDS	4505	6.66	7.41e-49	3.49e-51	0.44	15.05
b1415	aldA	CDS	3818	6.58	1.87e-19	5.02e-21	0.7	9.41
b3927	glpF	CDS	1725	6.42	3.17e-20	7.90e-22	0.67	9.6
b2240	glpT	CDS	578	6.37	6.86e-15	2.80e-16	0.78	8.18
b4254	argI	CDS	268	6.31	2.18e-36	1.76e-38	0.49	12.97
b4746	yddY	CDS	4	6.31	1.63e-03	4.53e-04	1.8	3.51
b3941	metF	CDS	631	5.96	3.07e-29	4.62e-31	0.51	11.59
b4067	actP	CDS	442	5.86	5.39e-34	5.32e-36	0.47	12.53
b1178	pliG	CDS	464	5.77	2.83e-19	7.88e-21	0.62	9.36
b0563	tfaX	CDS	4	5.74	5.69e-03	1.87e-03	1.85	3.11
b1857	znuA	CDS	7560	5.71	8.41e-119	9.43e-122	0.24	23.46
b2673	nrdH	CDS	278	5.71	1.02e-17	3.19e-19	0.64	8.96
b2149	mglA	CDS	599	5.66	2.98e-07	3.54e-08	1.03	5.51
b0953	rmf	CDS	4730	5.65	8.65e-09	7.96e-10	0.92	6.15
b4468	glcE	CDS	76	5.61	4.28e-45	2.40e-47	0.39	14.45
b3426	glpD	CDS	4013	5.48	2.20e-14	9.84e-16	0.68	8.03
b0333	prpC	CDS	14	5.46	5.94e-10	4.43e-11	0.83	6.59
b1974	yodB	CDS	88	5.46	2.35e-16	8.55e-18	0.64	8.59
b2979	glcD	CDS	132	5.43	4.54e-22	1.02e-23	0.54	10.04
b2674	nrdI	CDS	594	5.35	3.27e-11	2.02e-12	0.76	7.03
b0071	leuD	CDS	923	5.34	1.00e-36	7.68e-39	0.41	13.04
b0074	leuA	CDS	1384	5.34	2.17e-24	4.23e-26	0.51	10.57
b0072	leuC	CDS	1553	5.33	2.68e-28	4.14e-30	0.47	11.4
b2150	mglB	CDS	1039	5.32	1.49e-07	1.67e-08	0.94	5.64
b2241	glpA	CDS	232	5.3	6.28e-40	3.80e-42	0.39	13.6
b2243	glpC	CDS	105	5.22	1.38e-35	1.21e-37	0.41	12.82
b3523	yhjE	CDS	759	5.22	7.08e-90	1.59e-92	0.26	20.4
b0073	leuB	CDS	1369	5.21	1.07e-24	2.06e-26	0.49	10.63
b3588	aldB	CDS	451	5.15	1.05e-74	3.08e-77	0.28	18.6
b2675	nrdE	CDS	1744	5.03	3.88e-10	2.78e-11	0.76	6.66
b4445	omrB	ncRNA	7	5.02	1.65e-02	6.33e-03	1.84	2.73
b2148	mglC	CDS	503	5.01	1.83e-05	2.96e-06	1.07	4.67
b2242	glpB	CDS	135	5	1.63e-23	3.34e-25	0.48	10.37
b3457	livH	CDS	345	4.95	4.10e-105	6.44e-108	0.22	22.07
b3455	livG	CDS	326	4.89	3.38e-113	4.55e-116	0.21	22.9
b2676	nrdF	CDS	687	4.86	1.27e-08	1.20e-09	0.8	6.08
b3458	livK	CDS	674	4.84	2.08e-84	5.60e-87	0.24	19.77
b3958	argC	CDS	286	4.77	1.31e-26	2.26e-28	0.43	11.05
b0273	argF	CDS	529	4.76	2.14e-26	3.79e-28	0.43	11
b2818	argA	CDS	455	4.7	1.29e-50	5.20e-53	0.31	15.33
b4671	ykgR	CDS	3	4.69	1.85e-02	7.18e-03	1.75	2.69
b3456	livM	CDS	557	4.66	5.82e-141	2.61e-144	0.18	25.58
b3454	livF	CDS	336	4.65	5.92e-52	2.12e-54	0.3	15.53
b0880	cspD	CDS	2109	4.63	1.51e-57	5.10e-60	0.28	16.34
b1440	ydcS	CDS	413	4.63	7.16e-15	2.94e-16	0.57	8.18
b3708	tnaA	CDS	254	4.62	4.03e-06	5.84e-07	0.92	5
b1441	ydcT	CDS	191	4.59	1.01e-27	1.66e-29	0.41	11.28
b1930	yedF	CDS	243	4.59	1.49e-09	1.18e-10	0.71	6.44
b3081	fadH	CDS	103	4.58	8.79e-18	2.72e-19	0.51	8.98
b4755	yqhI	CDS	15	4.58	2.77e-08	2.74e-09	0.77	5.95
b3846	fadB	CDS	200	4.53	6.32e-11	4.15e-12	0.65	6.93
b3707	tnaC	CDS	2	4.51	1.80e-01	1.07e-01	2.79	1.61
b1038	csgF	CDS	55	4.48	2.54e-17	8.27e-19	0.51	8.86
b0331	prpB	CDS	22	4.37	2.45e-08	2.39e-09	0.73	5.97
b0854	potF	CDS	516	4.37	1.33e-12	7.12e-14	0.58	7.49
b2166	psuK	CDS	18	4.36	2.06e-03	5.94e-04	1.27	3.43
b4107	yjdN	CDS	104	4.32	3.25e-08	3.24e-09	0.73	5.92
b1496	yddA	CDS	86	4.3	3.56e-07	4.24e-08	0.79	5.48
b4015	aceA	CDS	13287	4.3	6.92e-10	5.19e-11	0.66	6.57
b1929	yedE	CDS	538	4.29	3.99e-11	2.51e-12	0.61	7
b4013	metA	CDS	258	4.29	1.05e-25	1.96e-27	0.4	10.85
b1389	paaB	CDS	6	4.28	6.50e-03	2.18e-03	1.4	3.06
b3670	ilvN	CDS	279	4.25	2.81e-07	3.31e-08	0.77	5.52
b4658	yghX	pseudo	169	4.25	1.19e-08	1.12e-09	0.7	6.09
b3845	fadA	CDS	136	4.23	5.54e-17	1.89e-18	0.48	8.76
b4704	arrS	ncRNA	3	4.21	1.53e-01	8.74e-02	2.46	1.71
b3073	patA	CDS	1388	4.2	3.21e-06	4.59e-07	0.83	5.04
b2774	ygcW	CDS	3	4.18	3.21e-02	1.37e-02	1.7	2.46
b1537	ydeJ	CDS	59	4.15	1.84e-21	4.30e-23	0.42	9.9
b2537	hcaR	CDS	290	4.15	5.42e-10	4.00e-11	0.63	6.6
b0294	ecpR	CDS	12	4.13	3.12e-03	9.46e-04	1.25	3.31
